company_name,high,low,last_price,prev_close,change,percent_gain
Prince Pipes,750.20,660.00,720.60,625.20,95.40,15.26
NLC India,154.00,141.60,151.80,141.20,10.60,7.51
HINDPETRO,302.40,282.05,299.50,278.65,20.85,7.48
Poonawalla Fin,391.20,365.00,388.95,362.85,26.10,7.19
Yes Bank,18.30,16.85,17.95,16.80,1.15,6.85
Apollo Tyres,412.50,391.00,410.30,384.10,26.20,6.82
Gujarat Pipavav,135.50,125.75,133.30,125.15,8.15,6.51
Ratnamani Metal,"3,389.25","3,071.50","3,335.80","3,141.50",194.30,6.18
Angel One,"2,699.00","2,547.60","2,676.05","2,536.55",139.50,5.5
Prestige Estate,848.00,818.35,832.75,791.00,41.75,5.28
Alkem Lab,"4,300.00","4,011.05","4,232.70","4,027.35",205.35,5.1
NCC,157.00,149.50,156.25,148.80,7.45,5.01
Fert and Chem,751.15,713.00,743.75,710.05,33.70,4.75
Ipca Labs,"1,062.50","1,010.85","1,053.95","1,006.50",47.45,4.71
Zydus Life,634.00,598.05,625.20,597.30,27.90,4.67
Swan Energy,413.35,387.00,404.00,386.35,17.65,4.57
KPIT Tech,"1,340.00","1,281.05","1,327.75","1,271.95",55.80,4.39
CenturyPlyboard,660.00,627.10,655.35,629.40,25.95,4.12
Brigade Ent,709.00,665.05,694.70,667.40,27.30,4.09
CESC,91.80,87.20,90.50,86.95,3.55,4.08
Cummins,"1,798.90","1,692.00","1,767.20","1,699.10",68.10,4.01
Lux Industries,"1,421.80","1,380.00","1,409.90","1,357.35",52.55,3.87
Info Edge,"4,540.00","4,360.00","4,505.80","4,340.05",165.75,3.82
Rail Vikas,162.95,156.30,162.05,156.15,5.90,3.78
Aurobindo Pharm,947.70,903.50,936.55,902.55,34.00,3.77
Jyothy Labs,422.60,396.30,416.50,401.40,15.10,3.76
Sterlite Techno,138.80,133.45,137.90,132.90,5.00,3.76
Sobha,798.80,764.05,789.20,760.65,28.55,3.75
Glenmark,788.75,761.00,785.95,759.15,26.80,3.53
IRFC,76.50,73.40,75.60,73.05,2.55,3.49
Chambal Fert,301.50,292.00,300.20,290.10,10.10,3.48
Ingersoll Rand,"2,994.95","2,855.10","2,943.50","2,844.40",99.10,3.48
Jindal Stainles,473.00,454.60,468.00,452.45,15.55,3.44
Guj Amb Exports,346.50,334.05,343.60,332.60,11.00,3.31
Eris Life,905.00,866.20,897.80,869.10,28.70,3.3
UNO Minda,607.90,589.25,602.00,582.75,19.25,3.3
Kalyan Jeweller,351.80,339.00,347.90,336.95,10.95,3.25
RBL Bank,240.90,233.55,240.15,232.65,7.50,3.22
Zomato,125.70,121.30,125.15,121.30,3.85,3.17
