company_name,high,low,last_price,prev_close,change,percent_gain
ITI,276.70,235.50,266.49,232.01,34.48,14.86
DCM Shriram,"1,275.00","1,126.05","1,255.00","1,117.20",137.8,12.33
Swan Energy,569.60,492.60,535.90,495.90,40,8.07
KEC Intl,"1,075.00",972.20,"1,050.70",976.15,74.55,7.64
Apollo Hospital,"7,483.90","7,200.30","7,424.85","6,968.10",456.75,6.55
FSN E-Co Nykaa,194.00,181.00,191.54,181.49,10.05,5.54
JSW Energy,721.85,687.15,714.80,682.60,32.2,4.72
JK Bank,108.75,100.81,105.96,101.31,4.65,4.59
PB Fintech,"1,764.75","1,654.95","1,739.00","1,663.30",75.7,4.55
Vijaya Diagnost,"1,038.45",965.10,"1,025.20",981.45,43.75,4.46
BSE Limited,"4,897.40","4,700.00","4,872.05","4,684.55",187.5,4
C. E. Info Syst,"2,092.00","1,972.50","2,070.00","1,991.25",78.75,3.95
Mahindra Life,517.80,494.25,515.60,497.15,18.45,3.71
Star Health,505.40,481.40,498.85,481.40,17.45,3.62
Welspun Corp,806.00,771.80,798.65,772.85,25.8,3.34
ZFCVINDIA,"15,088.35","14,477.25","14,969.20","14,491.15",478.05,3.3
Ceat,"2,889.00","2,774.55","2,873.70","2,786.15",87.55,3.14
Campus Active,320.95,303.90,314.35,304.85,9.5,3.12
Coromandel Int,"1,799.00","1,729.10","1,777.95","1,726.10",51.85,3
BEML,"4,348.00","4,152.55","4,266.85","4,147.65",119.2,2.87
Saregama India,522.40,497.00,512.50,498.95,13.55,2.72
GE Shipping,"1,334.60","1,258.60","1,291.60","1,257.95",33.65,2.67
Borosil Renew,473.70,452.10,468.05,456.05,12,2.63
NCC,321.90,301.05,316.25,308.30,7.95,2.58
Syrma SGS,580.25,538.05,568.35,554.15,14.2,2.56
JM Financial,151.49,144.81,148.20,144.59,3.61,2.5
Gujarat Gas,553.00,530.30,540.80,527.85,12.95,2.45
Vedant Fashions,"1,406.45","1,361.80","1,394.35","1,361.15",33.2,2.44
Chambal Fert,531.95,501.00,515.65,503.40,12.25,2.43
Karur Vysya,239.80,225.10,231.66,226.24,5.42,2.4
EID Parry,859.00,833.55,850.40,832.15,18.25,2.19
Page Industries,"45,490.00","43,784.90","45,064.10","44,153.35",910.75,2.06
UTI AMC,"1,385.50","1,340.00","1,359.25","1,332.30",26.95,2.02
Endurance Techn,"2,533.20","2,400.00","2,425.15","2,380.40",44.75,1.88
CDSL,"1,620.00","1,575.85","1,600.95","1,572.40",28.55,1.82
3M India,"36,372.15","35,490.10","36,063.30","35,432.40",630.9,1.78
Rail Vikas,486.70,473.30,477.85,469.65,8.2,1.75
PI Industries,"4,712.45","4,589.05","4,694.50","4,614.20",80.3,1.74
Narayana Hruda,"1,276.95","1,245.45","1,271.05","1,249.60",21.45,1.72
Glenmark Life,"1,164.00","1,098.05","1,116.75","1,098.05",18.7,1.7
Jyothy Labs,502.20,488.60,498.30,490.00,8.3,1.69
KPR Mill,930.00,909.25,924.55,909.25,15.3,1.68
Voltas,"1,780.70","1,734.00","1,766.95","1,737.85",29.1,1.67
GNFC,647.00,628.90,637.40,627.30,10.1,1.61
Biocon,329.50,322.15,328.00,322.85,5.15,1.6
Rainbow Child,"1,607.90","1,545.90","1,594.60","1,569.70",24.9,1.59
