company_name,high,low,last_price,prev_close,change,percent_gain
Trident,49.05,42.00,48.20,40.90,7.3,17.85
Capri Global,920.00,772.05,889.75,776.35,113.4,14.61
JBM Auto,"1,924.45","1,719.00","1,884.55","1,698.90",185.65,10.93
Garware Technic,"3,788.85","3,362.00","3,707.95","3,384.85",323.1,9.55
Network 18,104.80,93.45,100.55,93.05,7.5,8.06
Keystone Real,714.80,668.30,710.85,664.95,45.9,6.9
Century,"1,513.85","1,420.50","1,497.10","1,413.15",83.95,5.94
TV18 Broadcast,59.15,54.25,57.20,54.30,2.9,5.34
MMTC Ltd,69.95,61.70,67.05,63.70,3.35,5.26
Suzlon Energy,42.60,40.00,42.60,40.60,2,4.93
Easy Trip,44.05,41.60,43.35,41.40,1.95,4.71
Easy Trip,44.05,41.60,43.35,41.40,1.95,4.71
Godrej Ind,903.55,840.00,878.60,841.15,37.45,4.45
BLS Internation,354.00,334.40,350.65,336.25,14.4,4.28
Kalyan Jeweller,375.00,359.00,372.35,357.75,14.6,4.08
Data Patterns,"1,995.45","1,890.30","1,978.55","1,903.45",75.1,3.95
Olectra Greente,"1,580.00","1,470.10","1,509.50","1,452.80",56.7,3.9
GMR Airports,88.70,80.00,86.90,83.90,3,3.58
TataTeleservice,98.85,90.90,94.80,91.60,3.2,3.49
Redington,183.90,175.35,181.45,175.40,6.05,3.45
Rainbow Child,"1,297.20","1,251.15","1,290.15","1,251.15",39,3.12
Macrotech Dev,"1,136.95","1,091.05","1,123.80","1,090.55",33.25,3.05
Chalet Hotels,715.00,677.15,705.70,685.05,20.65,3.01
TVS Motor,"2,062.90","1,980.00","2,037.80","1,979.30",58.5,2.96
Sundaram Fin,"3,750.00","3,568.05","3,719.40","3,625.85",93.55,2.58
Restaurant Bran,119.10,111.70,116.30,113.45,2.85,2.51
BEML,"3,316.70","3,109.50","3,171.90","3,095.75",76.15,2.46
Metro Brands,"1,317.25","1,257.00","1,290.00","1,259.60",30.4,2.41
Apar Ind,"5,994.55","5,708.00","5,950.40","5,819.40",131,2.25
HINDPETRO,438.00,422.20,429.40,420.00,9.4,2.24
Poly Medicure,"1,547.80","1,472.00","1,520.15","1,487.00",33.15,2.23
Manappuram Fin,180.60,174.55,179.55,175.75,3.8,2.16
Kajaria Ceramic,"1,393.20","1,348.00","1,371.95","1,343.45",28.5,2.12
Sobha,"1,336.95","1,241.50","1,295.95","1,269.20",26.75,2.11
