company_name,high,low,last_price,prev_close,change,percent_gain
City Union Bank,173.00,161.13,168.51,150.63,17.88,11.87
Poly Medicure,"2,548.90","2,455.00","2,524.25","2,450.55",73.7,3.01
Varun Beverages,598.70,566.70,594.55,578.45,16.1,2.78
Varun Beverages,598.70,566.70,594.55,578.45,16.1,2.78
Varun Beverages,598.70,566.70,594.55,578.45,16.1,2.78
Hind Zinc,523.00,505.45,513.60,501.75,11.85,2.36
Tube Investment,"4,522.00","4,352.00","4,486.35","4,387.45",98.9,2.25
ZFCVINDIA,"14,249.90","13,866.35","14,102.35","13,981.05",121.3,0.87
Avenue Supermar,"4,057.00","3,965.90","4,005.20","3,973.45",31.75,0.8
Phoenix Mills,"1,605.00","1,491.15","1,583.85","1,572.20",11.65,0.74
ICICI Bank,"1,284.90","1,259.75","1,267.50","1,259.05",8.45,0.67
Star Health,555.55,539.00,546.15,542.55,3.6,0.66
Shree Cements,"24,848.00","24,220.00","24,434.40","24,297.75",136.65,0.56
Dr Lal PathLab,"3,345.30","3,272.30","3,309.90","3,296.80",13.1,0.4
Sona BLW,649.70,632.05,635.35,633.55,1.8,0.28
Apar Ind,"9,840.95","9,478.50","9,799.55","9,774.75",24.8,0.25
Colgate,"3,397.35","3,307.00","3,340.10","3,337.90",2.2,0.07
