company_name,high,low,last_price,prev_close,change,percent_gain
CDSL,"2,407.40","2,120.10","2,387.25","2,006.20",381.05,18.99
Chola Fin Hold,"1,530.00","1,289.10","1,453.50","1,286.25",167.25,13
Ceat,"2,920.00","2,591.85","2,821.85","2,599.00",222.85,8.57
IIFL Finance,521.40,481.95,517.60,479.85,37.75,7.87
Bombay Burmah,"2,167.70","1,893.05","2,025.50","1,885.90",139.60,7.4
Praj Industries,742.00,678.75,728.65,678.75,49.90,7.35
Mahanagar Gas,"1,628.00","1,510.00","1,596.90","1,503.40",93.50,6.22
GNFC,713.35,676.60,710.50,672.30,38.20,5.68
Amber Enterpris,"4,563.65","4,280.00","4,521.75","4,279.25",242.50,5.67
Star Health,560.00,541.30,558.65,528.65,30.00,5.67
Kalyan Jeweller,546.00,481.10,501.15,476.30,24.85,5.22
Persistent,"4,285.00","4,025.00","4,241.45","4,031.60",209.85,5.21
Persistent,"4,285.00","4,025.00","4,241.45","4,031.60",209.85,5.21
Patanjali Foods,"1,605.00","1,523.00","1,591.40","1,514.35",77.05,5.09
Bata India,"1,523.90","1,433.60","1,513.75","1,441.05",72.70,5.04
Rattanindia Ent,85.00,80.66,84.41,80.49,3.92,4.87
360 ONE WAM,"1,065.00",939.00,980.15,934.70,45.45,4.86
360 ONE WAM,"1,065.00",939.00,980.15,934.70,45.45,4.86
KPIT Tech,"1,698.70","1,565.80","1,634.75","1,561.10",73.65,4.72
Apollo Tyres,547.60,516.55,541.90,517.55,24.35,4.7
Jyothy Labs,433.50,413.05,431.60,412.35,19.25,4.67
Glenmark Life,874.00,831.85,869.05,831.65,37.40,4.5
CRISIL,"4,305.00","4,102.50","4,251.90","4,070.05",181.85,4.47
IGL,509.70,483.00,503.70,482.60,21.10,4.37
JB Chemicals,"1,788.00","1,695.30","1,754.65","1,681.70",72.95,4.34
JB Chemicals,"1,788.00","1,695.30","1,754.65","1,681.70",72.95,4.34
Rashtriya Chem,194.50,185.44,193.19,185.32,7.87,4.25
