company_name,high,low,last_price,prev_close,change,percent_gain
BSE Limited,"2,350.00","2,110.00","2,321.90","2,126.05",195.85,9.21
Hind Copper,163.60,149.30,162.05,149.95,12.1,8.07
Motilal Oswal,"1,147.90","1,033.00","1,130.60","1,046.50",84.1,8.04
CAMS,"2,728.30","2,473.70","2,683.10","2,485.75",197.35,7.94
Infibeam Avenue,21.85,19.95,21.60,20.15,1.45,7.2
Union Bank,112.65,103.90,112.00,104.55,7.45,7.13
Indian Bank,451.20,417.00,447.05,420.20,26.85,6.39
Bank of Mah,46.20,42.90,46.10,43.35,2.75,6.34
BHEL,138.00,128.70,136.50,129.00,7.5,5.81
UCO Bank,40.20,37.05,39.60,37.50,2.1,5.6
Central Bank,47.45,43.80,46.85,44.40,2.45,5.52
Welspun India,159.70,148.90,158.65,150.45,8.2,5.45
Yes Bank,19.50,18.15,19.40,18.40,1,5.43
Coal India,350.00,330.30,349.35,331.80,17.55,5.29
eClerx Services,"2,337.90","2,202.25","2,318.65","2,203.35",115.3,5.23
NCC,167.10,155.70,165.85,157.70,8.15,5.17
Apar Ind,"5,446.00","5,122.45","5,428.40","5,168.80",259.6,5.02
Phoenix Mills,"2,132.30","2,001.45","2,110.25","2,010.20",100.05,4.98
IOB,41.70,39.10,41.35,39.50,1.85,4.68
Torrent Power,837.45,778.40,820.40,783.80,36.6,4.67
CSB Bank,367.90,345.25,365.55,350.25,15.3,4.37
Canara Bank,405.65,386.95,404.45,388.30,16.15,4.16
KPIL,663.90,625.10,658.60,633.90,24.7,3.9
MCX India,"2,785.00","2,618.10","2,774.70","2,671.45",103.25,3.86
NLC India,158.70,145.00,156.35,150.55,5.8,3.85
PNB Housing Fin,779.30,742.50,775.35,747.85,27.5,3.68
Jyothy Labs,439.45,413.05,434.30,419.10,15.2,3.63
PNB,79.45,76.10,79.10,76.35,2.75,3.6
Power Finance,319.80,293.75,307.50,297.30,10.2,3.43
Sun TV Network,674.50,651.60,672.25,651.00,21.25,3.26
Karur Vysya,159.70,153.00,158.80,153.90,4.9,3.18
Bank of India,108.20,102.65,107.40,104.15,3.25,3.12
AU Small Financ,732.40,704.40,729.75,708.00,21.75,3.07
Angel One,"2,830.00","2,711.00","2,814.85","2,731.95",82.9,3.03
Indiabulls Hsg,176.30,169.05,175.80,170.70,5.1,2.99
