company_name,high,low,last_price,prev_close,change,percent_gain
Infibeam Avenue,34.90,29.75,34.90,29.10,5.80,19.93
IRB Infra,60.80,52.20,59.95,50.70,9.25,18.24
IRB Infra,60.80,52.20,59.95,50.70,9.25,18.24
NMDC Steel,67.90,59.85,67.20,58.70,8.50,14.48
SJVN,134.40,119.20,129.20,116.45,12.75,10.95
NBCC (India),128.45,116.70,127.00,114.70,12.30,10.72
Welspun Living,157.00,137.55,149.95,137.40,12.55,9.13
NCC,213.65,194.10,212.20,194.50,17.70,9.1
Castrol,191.00,173.25,189.25,175.10,14.15,8.08
ONGC,254.95,239.10,252.50,234.05,18.45,7.88
MMTC Ltd,82.80,75.30,80.75,75.30,5.45,7.24
Reliance,"2,905.00","2,720.35","2,896.10","2,706.15",189.95,7.02
Amber Enterpris,"4,444.00","4,161.90","4,390.90","4,103.15",287.75,7.01
Delhivery,433.00,406.05,427.85,401.30,26.55,6.62
Power Finance,448.45,421.60,446.75,419.00,27.75,6.62
REC,505.60,472.50,499.70,470.15,29.55,6.29
Tata Inv Corp,"4,944.00","4,550.00","4,828.35","4,543.30",285.05,6.27
Karur Vysya,193.90,180.30,191.45,180.25,11.20,6.21
MCX India,"3,433.30","3,226.45","3,415.40","3,221.10",194.30,6.03
Coal India,414.70,391.50,412.80,389.40,23.40,6.01
Capri Global,"1,024.90",961.55,996.00,940.35,55.65,5.92
Rain Industries,188.50,177.00,186.00,175.60,10.40,5.92
Adani Enterpris,"3,092.70","2,923.05","3,064.65","2,893.60",171.05,5.91
IOB,49.70,45.90,48.45,45.75,2.70,5.9
Century,"1,429.00","1,350.00","1,418.25","1,345.30",72.95,5.42
Birla Corp,"1,479.25","1,398.00","1,470.30","1,395.30",75.00,5.38
RITES,764.00,675.05,721.55,684.75,36.80,5.37
Apar Ind,"5,788.00","5,467.05","5,752.55","5,466.05",286.50,5.24
MRF,"144,150.00","136,333.05","143,873.60","136,857.95","7,015.65",5.13
General Insuran,380.00,355.25,370.45,352.65,17.80,5.05
HINDPETRO,458.65,430.15,452.30,430.60,21.70,5.04
Shyam Metalics,716.95,679.50,711.20,677.15,34.05,5.03
Adani Power,570.45,552.50,570.45,543.30,27.15,5
Sterling Wilson,606.45,594.90,606.45,577.60,28.85,4.99
Tata Motors DVR,567.65,538.00,564.45,537.95,26.50,4.93
Tata Motors DVR,567.65,538.00,564.45,537.95,26.50,4.93
Shoppers Stop,745.00,699.60,739.15,705.00,34.15,4.84
Indian Hotels,500.00,473.60,496.15,473.60,22.55,4.76
NLC India,255.00,242.85,251.00,239.80,11.20,4.67
PNC Infratech,449.80,416.40,434.15,414.80,19.35,4.66
Latent View,492.00,446.25,473.95,452.95,21.00,4.64
Tata Power,387.25,366.85,381.90,365.10,16.80,4.6
Rattanindia Ent,86.35,80.95,84.25,80.65,3.60,4.46
Godrej Prop,"2,444.00","2,333.00","2,430.40","2,326.90",103.50,4.45
Shriram Finance,"2,442.00","2,302.15","2,409.00","2,307.15",101.85,4.41
Adani Ports,"1,204.90","1,151.00","1,196.65","1,146.30",50.35,4.39
NHPC,89.60,84.80,86.95,83.30,3.65,4.38
CESC,140.65,134.50,139.10,133.30,5.80,4.35
Indian Bank,481.90,455.55,480.50,460.60,19.90,4.32
Cummins,"2,290.75","2,164.05","2,255.15","2,161.90",93.25,4.31
IDFC First Bank,83.75,80.60,83.50,80.05,3.45,4.31
EIH,325.10,309.50,323.40,310.45,12.95,4.17
CCL Products,674.00,644.10,668.30,641.90,26.40,4.11
BPCL,501.40,469.40,492.65,474.40,18.25,3.85
GAIL,174.70,165.50,171.75,165.40,6.35,3.84
Gujarat Fluoro,"3,739.00","3,544.75","3,706.30","3,569.35",136.95,3.84
Container Corp,867.85,815.20,860.35,828.65,31.70,3.83
Astral Ltd,"1,875.00","1,810.00","1,868.75","1,800.05",68.70,3.82
Supreme Ind,"4,175.00","4,005.00","4,168.35","4,014.85",153.50,3.82
JK Paper,443.40,420.50,436.50,420.70,15.80,3.76
RHI Magnesita,753.05,717.05,748.10,721.35,26.75,3.71
Varroc Engineer,533.80,515.95,533.05,514.35,18.70,3.64
Bharat Forge,"1,250.00","1,200.45","1,243.65","1,200.25",43.40,3.62
LIC Housing Fin,608.80,578.00,600.00,579.20,20.80,3.59
Tata Motors,843.80,811.05,841.00,811.85,29.15,3.59
Tata Motors,843.80,811.05,841.00,811.85,29.15,3.59
UCO Bank,43.90,41.30,42.65,41.20,1.45,3.52
Guj Amb Exports,392.70,375.10,380.80,367.90,12.90,3.51
IEX,141.70,137.30,140.45,135.70,4.75,3.5
KFin Tech,569.00,543.00,559.25,540.35,18.90,3.5
Voltas,"1,043.00","1,006.80","1,040.40","1,005.20",35.20,3.5
IGL,421.50,404.40,419.10,405.15,13.95,3.44
Power Grid Corp,255.00,245.15,253.95,245.50,8.45,3.44
Adani Energy,"1,136.00","1,074.80","1,098.05","1,061.80",36.25,3.41
Hero Motocorp,"4,625.00","4,426.35","4,593.50","4,442.15",151.35,3.41
AIA Engineering,"4,096.00","3,931.55","4,026.80","3,894.90",131.90,3.39
eClerx Services,"2,709.95","2,610.00","2,697.40","2,609.85",87.55,3.35
J. K. Cement,"4,333.00","4,205.00","4,306.20","4,167.45",138.75,3.33
Brigade Ent,"1,010.85",975.10,"1,007.05",974.95,32.10,3.29
Indiamart Inter,"2,539.00","2,438.55","2,529.65","2,449.20",80.45,3.28
Adani Total Gas,"1,053.00","1,005.05","1,035.70","1,002.95",32.75,3.27
Chola Fin Hold,"1,149.80","1,105.00","1,137.20","1,101.50",35.70,3.24
Larsen,"3,733.85","3,600.10","3,708.00","3,593.45",114.55,3.19
Bank of Baroda,235.75,227.65,234.25,227.05,7.20,3.17
BLS Internation,408.65,391.50,401.60,389.40,12.20,3.13
M&M Financial,280.05,269.70,278.60,270.15,8.45,3.13
NTPC,325.75,316.15,324.55,314.75,9.80,3.11
Persistent,"8,655.00","8,360.95","8,637.60","8,378.75",258.85,3.09
Kotak Mahindra,"1,830.05","1,776.00","1,822.90","1,768.40",54.50,3.08
Amara Raja,841.50,813.95,837.95,813.10,24.85,3.06
UltraTechCement,"10,300.00","9,989.50","10,274.05","9,969.35",304.70,3.06
Adani Green Ene,"1,750.00","1,673.45","1,715.50","1,664.80",50.70,3.05
Bank of India,136.65,132.40,135.50,131.50,4.00,3.04
Central Bank,57.50,54.45,56.00,54.35,1.65,3.04
INDUS TOWERS,233.95,226.10,232.25,225.45,6.80,3.02
Mankind Pharma,"2,120.00","2,021.20","2,091.50","2,030.40",61.10,3.01
NALCO,148.40,141.50,145.35,141.10,4.25,3.01
MRPL,184.25,173.00,179.60,174.40,5.20,2.98
Mahanagar Gas,"1,419.40","1,381.00","1,414.40","1,374.15",40.25,2.93
Gujarat Pipavav,170.50,163.15,168.35,163.60,4.75,2.9
PNB,109.50,105.45,107.50,104.50,3.00,2.87
Prism Johnson,173.90,165.95,172.90,168.15,4.75,2.82
APL Apollo,"1,543.90","1,471.40","1,531.50","1,489.85",41.65,2.8
Rallis India,272.25,258.85,264.75,257.60,7.15,2.78
Vaibhav Global,533.00,512.90,528.55,514.30,14.25,2.77
Adani Wilmar,364.25,351.90,360.65,351.00,9.65,2.75
JBM Auto,"1,946.00","1,855.25","1,900.10","1,849.35",50.75,2.74
Eris Life,935.00,893.00,913.70,889.40,24.30,2.73
Jindal Stainles,565.50,536.00,553.00,538.35,14.65,2.72
SBI Life Insura,"1,424.60","1,388.00","1,418.40","1,380.90",37.50,2.72
Epigral,"1,039.00",988.45,"1,021.10",994.20,26.90,2.71
Max Financial,905.55,870.00,901.80,878.20,23.60,2.69
New India Assur,243.55,231.00,237.60,231.40,6.20,2.68
Escorts Kubota,"3,040.45","2,948.20","3,023.20","2,945.30",77.90,2.64
KSB Pumps,"3,550.00","3,459.95","3,543.50","3,452.30",91.20,2.64
GNFC,755.70,733.75,751.85,732.55,19.30,2.63
Apollo Hospital,"6,349.00","6,177.80","6,329.75","6,168.85",160.90,2.61
IIFL Finance,627.45,605.60,617.45,601.75,15.70,2.61
HUDCO,173.75,164.80,167.80,163.55,4.25,2.6
Oil India,421.00,404.30,413.60,403.10,10.50,2.6
Elgi Equipments,602.45,580.45,595.45,580.55,14.90,2.57
Federal Bank,146.65,142.50,145.45,141.80,3.65,2.57
Titan Company,"3,875.00","3,760.55","3,866.65","3,770.20",96.45,2.56
Godrej Ind,869.65,842.00,867.10,845.50,21.60,2.55
Phoenix Mills,"2,379.45","2,270.10","2,354.55","2,296.20",58.35,2.54
Hindustan Aeron,"2,985.00","2,903.90","2,976.95","2,903.80",73.15,2.52
Hindustan Aeron,"2,985.00","2,903.90","2,976.95","2,903.80",73.15,2.52
Page Industries,"37,911.00","36,425.75","37,635.20","36,711.10",924.10,2.52
Sunteck Realty,462.00,448.00,458.90,447.65,11.25,2.51
Ambuja Cements,578.90,562.80,574.10,560.15,13.95,2.49
Global Health,"1,140.00","1,081.10","1,134.80","1,107.50",27.30,2.47
Petronet LNG,266.30,257.60,262.95,256.60,6.35,2.47
Prince Pipes,711.35,686.05,705.75,689.20,16.55,2.4
MphasiS,"2,597.40","2,515.10","2,582.70","2,522.40",60.30,2.39
HDFC AMC,"3,539.20","3,406.30","3,510.10","3,428.65",81.45,2.38
Siemens,"4,318.95","4,196.35","4,305.55","4,205.40",100.15,2.38
Sun Pharma,"1,420.85","1,355.20","1,400.85","1,368.30",32.55,2.38
GE Shipping,"1,043.90","1,009.85","1,031.35","1,007.70",23.65,2.35
Ashok Leyland,175.05,168.75,173.70,169.75,3.95,2.33
Dalmia Bharat,"2,278.35","2,221.00","2,256.45","2,205.05",51.40,2.33
India Cements,259.65,250.50,258.35,252.60,5.75,2.28
Home First,"1,009.75",970.30,986.35,964.50,21.85,2.27
Endurance Techn,"2,067.55","1,990.30","2,023.25","1,979.85",43.40,2.19
PVR INOX,"1,500.65","1,465.00","1,490.35","1,458.75",31.60,2.17
Tube Investment,"4,105.00","3,893.00","4,073.65","3,987.90",85.75,2.15
Havells India,"1,322.75","1,289.85","1,317.90","1,290.35",27.55,2.14
Redington,177.70,173.10,176.70,173.00,3.70,2.14
IOC,148.40,143.50,146.70,143.70,3.00,2.09
Bosch,"23,348.70","22,775.05","23,248.80","22,779.30",469.50,2.06
Sona BLW,599.00,587.00,597.30,585.40,11.90,2.03
Jindal Steel,733.85,715.00,730.75,716.30,14.45,2.02
Abbott India,"25,809.25","25,020.35","25,568.05","25,060.75",507.30,2.02
Lupin,"1,490.95","1,454.00","1,483.30","1,454.05",29.25,2.01
Canara Bank,480.00,468.10,474.55,465.30,9.25,1.99
Sun TV Network,666.45,649.45,662.65,649.75,12.90,1.99
Kansai Nerolac,342.00,333.45,339.30,332.75,6.55,1.97
CRISIL,"3,906.50","3,824.25","3,889.95","3,817.25",72.70,1.9
KPIL,765.00,743.45,758.80,744.80,14.00,1.88
Apollo Tyres,528.95,515.15,527.25,517.60,9.65,1.86
G R Infra,"1,196.90","1,164.00","1,184.50","1,163.00",21.50,1.85
IDFC,119.10,116.70,118.15,116.00,2.15,1.85
Rainbow Child,"1,246.00","1,207.10","1,239.50","1,217.00",22.50,1.85
Axis Bank,"1,068.00","1,036.00","1,061.25","1,042.25",19.00,1.82
JSW Energy,504.85,490.95,496.30,487.65,8.65,1.77
Birlasoft,835.70,821.10,832.60,818.25,14.35,1.75
NMDC,222.00,217.40,220.95,217.15,3.80,1.75
