company_name,high,low,last_price,prev_close,change,percent_gain
Glenmark,861.70,782.10,855.50,776.95,78.55,10.11
Vedanta,224.75,210.00,222.55,208.35,14.2,6.82
HUDCO,93.80,86.40,91.80,86.55,5.25,6.07
Sun TV Network,615.00,581.25,612.15,579.80,32.35,5.58
Hindalco,494.50,474.20,492.65,466.85,25.8,5.53
NLC India,136.80,131.25,134.95,128.10,6.85,5.35
Guj Alkali,740.70,694.00,732.65,695.95,36.7,5.27
JB Chemicals,"1,489.50","1,406.75","1,482.10","1,408.95",73.15,5.19
JB Chemicals,"1,489.50","1,406.75","1,482.10","1,408.95",73.15,5.19
L&T Finance,133.50,126.90,133.10,126.65,6.45,5.09
Emami,548.95,516.30,538.45,512.70,25.75,5.02
JSW Energy,440.20,417.60,437.40,416.50,20.9,5.02
Dr Lal PathLab,"2,543.50","2,404.10","2,524.35","2,408.60",115.75,4.81
RBL Bank,256.00,243.05,252.75,241.35,11.4,4.72
Aurobindo Pharm,930.00,901.00,914.35,873.60,40.75,4.66
Piramal Pharma,102.60,96.35,102.05,97.55,4.5,4.61
Sun Pharma Adv,234.15,223.25,233.10,223.10,10,4.48
Sobha,719.00,680.15,705.65,675.55,30.1,4.46
NALCO,97.65,93.80,97.20,93.15,4.05,4.35
NMDC,148.95,143.30,147.95,141.90,6.05,4.26
Mahindra Life,554.55,529.80,550.05,527.80,22.25,4.22
Bank of India,110.10,106.00,109.40,105.05,4.35,4.14
Zee Entertain,266.85,254.55,264.55,254.05,10.5,4.13
Metropolis,"1,488.00","1,406.50","1,459.80","1,403.80",56,3.99
Ajanta Pharma,"1,835.00","1,725.05","1,799.90","1,731.50",68.4,3.95
Hind Copper,163.25,158.00,162.40,156.30,6.1,3.9
Grindwell Norto,"2,085.00","2,001.45","2,078.65","2,002.55",76.1,3.8
Granules India,356.00,343.00,354.75,341.85,12.9,3.77
Union Bank,107.00,102.90,106.30,102.50,3.8,3.71
Abbott India,"23,245.00","22,201.75","23,179.45","22,370.65",808.8,3.62
Hind Zinc,317.50,300.20,308.65,297.95,10.7,3.59
NTPC,251.50,239.50,245.55,237.05,8.5,3.59
Metro Brands,"1,149.80","1,086.55","1,126.25","1,088.10",38.15,3.51
Torrent Pharma,"1,945.00","1,864.55","1,929.10","1,863.60",65.5,3.51
Sterling Wilson,365.70,337.50,360.45,348.30,12.15,3.49
BHEL,131.70,128.10,131.00,126.65,4.35,3.43
Century,"1,125.90","1,081.90","1,117.05","1,080.60",36.45,3.37
Lupin,"1,184.70","1,133.10","1,171.25","1,133.05",38.2,3.37
Syngene Intl,808.75,778.30,804.15,777.95,26.2,3.37
Piramal Enter,"1,056.95","1,021.40","1,049.35","1,015.25",34.1,3.36
Jubilant Ing.,487.70,466.25,479.05,463.60,15.45,3.33
M&M Financial,306.85,294.00,301.35,291.90,9.45,3.24
Suven Pharma,567.00,544.10,561.35,544.05,17.3,3.18
Shoppers Stop,687.50,646.00,685.30,664.30,21,3.16
Devyani Int,215.90,207.00,214.35,207.80,6.55,3.15
Eris Life,927.95,855.00,876.30,850.15,26.15,3.08
Muthoot Finance,"1,257.75","1,214.75","1,252.00","1,214.75",37.25,3.07
3M India,"32,885.00","30,839.25","31,805.85","30,864.75",941.1,3.05
CAMS,"2,525.00","2,436.95","2,510.55","2,438.15",72.4,2.97
Godfrey Phillip,"2,193.00","2,110.20","2,177.50","2,114.90",62.6,2.96
Hero Motocorp,"3,070.00","2,972.15","3,057.25","2,970.00",87.25,2.94
Dr Reddys Labs,"5,630.00","5,453.25","5,587.00","5,429.10",157.9,2.91
India Cements,235.90,228.25,233.20,226.65,6.55,2.89
Jindal Steel,705.70,686.30,701.35,681.85,19.5,2.86
Power Finance,254.25,247.20,251.90,244.90,7,2.86
Alembic Pharma,789.00,760.75,784.45,762.85,21.6,2.83
Solar Ind,"4,875.00","4,699.90","4,820.00","4,689.20",130.8,2.79
Sterlite Techno,161.95,156.25,161.05,156.70,4.35,2.78
ICICI Lombard ,"1,314.00","1,275.00","1,309.55","1,274.25",35.3,2.77
GMR Airports,60.00,58.30,59.55,57.95,1.6,2.76
Dalmia Bharat,"2,417.95","2,330.45","2,404.35","2,339.95",64.4,2.75
Divis Labs,"3,784.00","3,687.00","3,765.15","3,665.00",100.15,2.73
HDFC AMC,"2,652.00","2,583.25","2,647.45","2,578.65",68.8,2.67
Sapphire Foods,"1,468.70","1,409.00","1,453.40","1,415.75",37.65,2.66
Jindal Worldwid,385.00,375.20,383.35,373.50,9.85,2.64
Tata Motors,633.00,617.00,630.20,614.10,16.1,2.62
Tata Motors,633.00,617.00,630.20,614.10,16.1,2.62
Cochin Shipyard,"1,117.90","1,063.00","1,085.25","1,057.70",27.55,2.6
Radico Khaitan,"1,210.00","1,178.40","1,203.85","1,173.55",30.3,2.58
Shriram Finance,"1,930.95","1,865.60","1,919.35","1,871.45",47.9,2.56
Bharat Dynamics,"1,040.00","1,002.50","1,031.30","1,005.65",25.65,2.55
Keystone Real,564.00,545.95,562.05,548.15,13.9,2.54
Bombay Burmah,"1,307.75","1,230.00","1,261.45","1,230.70",30.75,2.5
Birla Corp,"1,235.00","1,196.00","1,229.55","1,199.75",29.8,2.48
GAIL,125.00,122.30,124.40,121.45,2.95,2.43
Bharat Elec,138.65,135.75,138.30,135.05,3.25,2.41
Capri Global,810.00,774.25,796.95,778.30,18.65,2.4
GlaxoSmithKline,"1,568.10","1,512.20","1,548.25","1,512.15",36.1,2.39
Graphite India,501.90,482.95,492.05,480.60,11.45,2.38
ONGC,192.25,188.15,191.85,187.45,4.4,2.35
Apollo Hospital,"5,186.95","5,026.60","5,137.75","5,020.10",117.65,2.34
Indian Bank,428.80,418.00,423.55,413.90,9.65,2.33
Sun Pharma,"1,167.40","1,134.30","1,158.65","1,132.30",26.35,2.33
Firstsource Sol,168.25,163.20,167.55,163.75,3.8,2.32
Alkem Lab,"3,626.30","3,522.00","3,605.90","3,524.80",81.1,2.3
HLE Glascoat,566.95,551.45,560.95,548.40,12.55,2.29
HLE Glascoat,566.95,551.45,560.95,548.40,12.55,2.29
AB Capital,181.40,176.85,179.95,175.95,4,2.27
IRFC,77.55,74.60,76.55,74.85,1.7,2.27
Oil India,300.00,290.00,298.85,292.25,6.6,2.26
Ratnamani Metal,"2,616.00","2,530.25","2,600.75","2,543.35",57.4,2.26
Tata Comm,"1,939.00","1,888.90","1,932.75","1,890.20",42.55,2.25
SAIL,94.50,93.00,93.85,91.80,2.05,2.23
Jubilant Pharmo,442.45,423.95,435.15,425.65,9.5,2.23
Can Fin Homes,770.25,753.00,764.80,748.20,16.6,2.22
Motherson SWI,64.90,63.00,64.45,63.05,1.4,2.22
GNFC,616.55,601.15,612.10,599.10,13,2.17
REC,291.95,282.80,287.40,281.30,6.1,2.17
Oberoi Realty,"1,159.80","1,136.50","1,154.35","1,129.90",24.45,2.16
Greenpanel Ind,381.45,370.85,379.95,372.05,7.9,2.12
TML - D,432.80,420.15,428.05,419.15,8.9,2.12
TML - D,432.80,420.15,428.05,419.15,8.9,2.12
HINDPETRO,257.75,250.30,254.95,249.70,5.25,2.1
DLF,534.00,521.05,530.90,520.10,10.8,2.08
Hindustan Aeron,"1,942.75","1,897.10","1,928.15","1,889.15",39,2.06
Hindustan Aeron,"1,942.75","1,897.10","1,928.15","1,889.15",39,2.06
PNB Housing Fin,697.85,672.50,694.10,680.10,14,2.06
Zydus Life,621.95,601.50,615.00,602.75,12.25,2.03
Tejas Networks,886.90,852.50,875.35,857.90,17.45,2.03
Rail Vikas,171.95,166.20,169.45,166.10,3.35,2.02
Coromandel Int,"1,150.00","1,072.35","1,146.30","1,123.75",22.55,2.01
CDSL,"1,363.95","1,327.40","1,359.80","1,333.10",26.7,2
Biocon,274.00,265.10,272.20,266.90,5.3,1.99
Central Bank,52.10,50.70,51.30,50.30,1,1.99
Petronet LNG,242.35,236.05,239.95,235.35,4.6,1.95
Sanofi India,"7,219.95","7,087.10","7,207.30","7,070.90",136.4,1.93
Gujarat Gas,424.20,416.00,422.90,414.95,7.95,1.92
Cipla,"1,199.20","1,165.00","1,186.15","1,164.05",22.1,1.9
Grasim,"1,951.00","1,909.65","1,942.40","1,906.50",35.9,1.88
Birlasoft,489.40,476.00,483.35,474.45,8.9,1.88
UPL,621.50,609.25,616.25,605.00,11.25,1.86
Honeywell Autom,"39,990.00","38,969.00","39,853.75","39,141.20",712.55,1.82
Mahanagar Gas,"1,032.35","1,011.35","1,028.85","1,010.65",18.2,1.8
Deepak Fert,650.00,635.05,646.80,635.45,11.35,1.79
CCL Products,647.60,630.10,645.70,634.55,11.15,1.76
MRPL,96.00,93.80,95.60,93.95,1.65,1.76
Epigral,"1,009.75",979.50,993.50,976.50,17,1.74
NHPC,53.80,52.15,52.80,51.90,0.9,1.73
Coal India,297.50,291.40,295.20,290.20,5,1.72
Mahindra Logist,388.60,383.00,387.75,381.20,6.55,1.72
JM Financial,86.95,84.95,86.35,84.90,1.45,1.71
TCNS Clothing C,365.90,357.05,362.55,356.45,6.1,1.71
PI Industries,"3,479.60","3,406.80","3,453.00","3,395.15",57.85,1.7
Ashok Leyland,177.75,174.30,177.00,174.10,2.9,1.67
Redington,155.85,152.25,154.80,152.25,2.55,1.67
Cummins,"1,709.50","1,653.30","1,696.30","1,668.55",27.75,1.66
Interglobe Avi,"2,387.15","2,343.05","2,381.20","2,342.35",38.85,1.66
Tata Steel,129.55,127.55,128.90,126.80,2.1,1.66
