company_name,high,low,last_price,prev_close,change,percent_gain
UCO Bank,60.65,51.20,57.75,50.55,7.2,14.24
IOB,66.10,56.00,62.65,56.15,6.5,11.58
New India Assur,266.30,243.10,265.65,242.10,23.55,9.73
MMTC Ltd,92.55,86.00,92.20,84.15,8.05,9.57
General Insuran,438.00,376.05,408.65,377.20,31.45,8.34
Redington,208.50,190.55,203.85,188.55,15.3,8.11
Hitachi Energy,"6,275.00","5,715.40","6,190.65","5,745.95",444.7,7.74
Phoenix Mills,"2,679.65","2,478.90","2,655.25","2,478.90",176.35,7.11
IDBI Bank,98.60,86.00,93.25,87.20,6.05,6.94
RITES,787.70,710.10,748.85,700.75,48.1,6.86
IOC,177.20,164.70,173.95,162.90,11.05,6.78
Mahindra Life,632.80,571.50,603.30,567.45,35.85,6.32
Graphite India,603.85,548.80,586.20,552.45,33.75,6.11
GlaxoSmithKline,"2,493.40","2,282.00","2,448.20","2,307.50",140.7,6.1
Aegis Logistics,398.65,374.50,395.85,374.35,21.5,5.74
LIC India,"1,028.00",955.00,998.85,945.45,53.4,5.65
Tata Motors,950.00,915.35,926.80,878.75,48.05,5.47
Tata Motors,950.00,915.35,926.80,878.75,48.05,5.47
SAIL,138.40,130.00,135.30,128.30,7,5.46
MCX India,"3,892.00","3,610.00","3,850.05","3,655.10",194.95,5.33
Torrent Power,"1,129.35","1,069.05","1,121.05","1,064.30",56.75,5.33
Sonata,815.00,762.15,808.25,768.40,39.85,5.19
Guj State Petro,373.75,352.15,368.35,350.40,17.95,5.12
IRB Infra,72.00,67.30,70.05,66.75,3.3,4.94
IRB Infra,72.00,67.30,70.05,66.75,3.3,4.94
Coal India,450.00,417.10,440.25,419.80,20.45,4.87
Tata Motors DVR,631.80,602.85,614.95,586.75,28.2,4.81
Tata Motors DVR,631.80,602.85,614.95,586.75,28.2,4.81
Lupin,"1,584.40","1,498.10","1,573.15","1,502.75",70.4,4.68
Torrent Pharma,"2,685.00","2,540.05","2,643.70","2,525.65",118.05,4.67
Bank of Mah,63.80,57.40,60.05,57.40,2.65,4.62
Central Bank,70.30,61.70,64.85,62.05,2.8,4.51
SJVN,170.50,135.10,148.30,142.25,6.05,4.25
HINDPETRO,517.35,490.00,508.40,488.85,19.55,4
BSE Limited,"2,598.95","2,480.00","2,561.05","2,465.00",96.05,3.9
G R Infra,"1,359.00","1,263.80","1,314.60","1,265.40",49.2,3.89
Mahindra Holida,448.90,415.45,434.50,418.65,15.85,3.79
Intellect Desig,936.00,891.00,928.40,894.95,33.45,3.74
Biocon,289.50,275.35,284.65,274.70,9.95,3.62
Triveni Engg,361.40,339.70,349.90,337.90,12,3.55
HEG,"1,931.90","1,776.15","1,846.60","1,784.05",62.55,3.51
NLC India,293.75,269.00,274.85,265.60,9.25,3.48
CESC,144.00,136.10,142.45,137.70,4.75,3.45
Sun Pharma,"1,466.00","1,423.60","1,463.80","1,416.65",47.15,3.33
Prince Pipes,729.85,698.35,723.90,701.15,22.75,3.24
Shree Renuka,52.70,49.35,51.30,49.70,1.6,3.22
Radico Khaitan,"1,820.00","1,640.00","1,736.70","1,684.35",52.35,3.11
