company_name,high,low,last_price,prev_close,change,percent_gain
Biocon,350.80,326.00,348.70,321.30,27.40,8.53
Borosil Renew,514.80,454.75,503.10,467.15,35.95,7.7
ITI,344.50,293.38,327.35,304.24,23.11,7.6
Power Finance,489.40,454.25,481.85,449.40,32.45,7.22
eClerx Services,"3,410.00","3,200.05","3,380.85","3,240.25",140.60,4.34
Power Grid Corp,332.40,312.80,329.80,316.25,13.55,4.28
Zomato,259.50,244.00,258.62,248.73,9.89,3.98
Info Edge,"8,100.00","7,596.80","7,951.50","7,654.60",296.90,3.88
JSW Energy,751.60,706.15,739.25,712.05,27.20,3.82
Manappuram Fin,157.12,147.67,156.11,150.37,5.74,3.82
Endurance Techn,"2,648.00","2,426.00","2,517.50","2,426.70",90.80,3.74
Oracle Fin Serv,"11,985.00","11,397.85","11,932.80","11,518.15",414.65,3.6
Bajaj Holdings,"10,897.80","10,390.10","10,851.45","10,488.30",363.15,3.46
EIH,383.90,359.20,371.60,359.20,12.40,3.45
CCL Products,718.70,685.55,713.05,691.70,21.35,3.09
MRF,"125,154.05","120,050.00","123,045.60","119,354.30","3,691.30",3.09
TITAGARH,"1,191.00","1,130.00","1,185.00","1,150.60",34.40,2.99
Avanti Feeds,599.30,565.50,595.10,578.35,16.75,2.9
Trent,"6,620.00","6,212.05","6,480.70","6,298.95",181.75,2.89
ABB India,"7,268.15","6,995.35","7,237.80","7,045.45",192.35,2.73
REC,541.00,511.35,528.35,514.55,13.80,2.68
Zensar Tech,749.75,718.15,747.10,728.55,18.55,2.55
Gland,"1,858.30","1,777.60","1,818.10","1,777.60",40.50,2.28
Devyani Int,180.70,165.30,174.60,170.90,3.70,2.17
PNB Housing Fin,"1,011.90",939.60,966.85,947.20,19.65,2.07
Prestige Estate,"1,646.00","1,557.10","1,612.25","1,579.85",32.40,2.05
BLS Internation,429.55,407.30,421.40,413.10,8.30,2.01
Lemon Tree,125.00,120.70,123.98,121.64,2.34,1.92
United Spirits,"1,495.40","1,447.00","1,475.85","1,448.65",27.20,1.88
Metropolis,"2,164.00","2,082.10","2,154.80","2,115.45",39.35,1.86
Concord Biotech,"1,927.70","1,823.05","1,882.95","1,850.00",32.95,1.78
KSB Pumps,834.15,803.45,830.30,815.75,14.55,1.78
KSB Pumps,834.15,803.45,830.30,815.75,14.55,1.78
PNC Infratech,324.10,310.25,321.75,316.25,5.50,1.74
Infosys,"1,868.00","1,822.55","1,860.10","1,829.95",30.15,1.65
Thermax,"5,287.95","5,086.50","5,214.95","5,131.00",83.95,1.64
HCL Tech,"1,874.00","1,834.00","1,867.30","1,837.50",29.80,1.62
Kaynes Tech,"5,746.65","5,464.85","5,633.00","5,544.30",88.70,1.6
CG Power ,729.70,703.60,727.50,716.25,11.25,1.57
Gujarat Fluoro,"4,269.00","4,058.05","4,230.85","4,165.70",65.15,1.56
Tata Inv Corp,"7,140.00","6,685.00","6,871.60","6,767.25",104.35,1.54
Macrotech Dev,"1,208.95","1,161.75","1,187.50","1,170.30",17.20,1.47
Sobha,"1,628.00","1,566.90","1,614.55","1,591.65",22.90,1.44
DCM Shriram,"1,271.95","1,225.25","1,259.90","1,242.20",17.70,1.42
IDFC First Bank,67.00,65.52,66.56,65.63,0.93,1.42
COFORGE LTD.,"8,079.95","7,862.90","8,066.90","7,953.80",113.10,1.42
Union Bank,119.64,116.05,119.15,117.52,1.63,1.39
Tech Mahindra,"1,715.45","1,666.05","1,704.15","1,681.35",22.80,1.36
Eris Life,"1,329.50","1,298.30","1,323.40","1,306.25",17.15,1.31
TCS,"4,234.30","4,117.65","4,198.70","4,147.00",51.70,1.25
Mastek,"2,987.25","2,870.10","2,954.90","2,920.65",34.25,1.17
SignatureGlobal,"1,329.85","1,250.00","1,283.15","1,268.50",14.65,1.15
Metro Brands,"1,193.40","1,152.85","1,179.35","1,166.00",13.35,1.14
Varroc Engineer,535.80,517.40,531.15,525.15,6.00,1.14
Campus Active,323.00,299.10,307.40,304.00,3.40,1.12
Ashok Leyland,230.45,222.94,224.34,221.89,2.45,1.1
Archean Chem,692.90,631.00,686.80,679.80,7.00,1.03
HFCL,133.80,123.71,128.10,126.79,1.31,1.03
JSW Infra,310.90,300.80,307.60,304.50,3.10,1.02
Chennai Petro,637.05,606.40,631.15,624.75,6.40,1.02
Indian Bank,571.00,550.05,566.60,561.00,5.60,1
CAMS,"4,769.90","4,620.00","4,720.10","4,673.85",46.25,0.99
Hindustan Aeron,"4,489.90","4,347.20","4,443.70","4,400.60",43.10,0.98
Hindustan Aeron,"4,489.90","4,347.20","4,443.70","4,400.60",43.10,0.98
Persistent,"5,750.00","5,610.80","5,721.65","5,668.70",52.95,0.93
Persistent,"5,750.00","5,610.80","5,721.65","5,668.70",52.95,0.93
General Insuran,374.50,359.00,367.90,364.65,3.25,0.89
Kalyan Jeweller,710.95,685.35,700.20,694.10,6.10,0.88
Schaeffler Ind,"3,598.90","3,454.05","3,513.80","3,483.35",30.45,0.87
Axis Bank,"1,176.80","1,142.95","1,171.00","1,160.95",10.05,0.87
Maruti Suzuki,"11,518.15","11,310.00","11,399.70","11,303.00",96.70,0.86
ICICI Bank,"1,275.90","1,246.65","1,269.30","1,258.85",10.45,0.83
PI Industries,"4,619.80","4,466.15","4,599.70","4,562.45",37.25,0.82
Anand Rathi,"4,025.75","3,872.45","3,944.15","3,912.30",31.85,0.81
LTIMindtree,"6,025.00","5,858.90","5,974.60","5,926.95",47.65,0.8
Engineers India,194.42,183.86,189.33,187.84,1.49,0.79
Wipro,583.20,566.05,573.50,569.00,4.50,0.79
Supreme Ind,"4,781.00","4,562.00","4,633.05","4,597.85",35.20,0.77
Hindalco,657.60,638.70,655.35,650.45,4.90,0.75
CRISIL,"5,613.05","5,441.05","5,531.75","5,491.25",40.50,0.74
Emami,685.25,659.35,674.80,669.85,4.95,0.74
Muthoot Finance,"1,823.00","1,775.00","1,817.15","1,804.55",12.60,0.7
CESC,185.70,179.65,184.02,182.75,1.27,0.69
Bank of Baroda,259.55,252.80,258.35,256.60,1.75,0.68
BPCL,314.00,304.05,312.55,310.45,2.10,0.68
HDFC Bank,"1,782.80","1,751.20","1,766.30","1,754.45",11.85,0.68
Bharat Elec,303.80,294.40,299.75,297.75,2.00,0.67
Guj Amb Exports,133.95,127.55,130.85,129.98,0.87,0.67
IndusInd Bank,"1,067.50","1,040.00","1,060.80","1,053.80",7.00,0.66
CSB Bank,317.95,308.15,315.30,313.30,2.00,0.64
Titan Company,"3,230.05","3,158.25","3,206.60","3,186.25",20.35,0.64
Abbott India,"28,807.95","28,356.05","28,724.30","28,553.05",171.25,0.6
Fine Organics,"5,249.00","4,941.10","5,029.40","5,000.35",29.05,0.58
Vedant Fashions,"1,425.30","1,376.55","1,408.65","1,400.50",8.15,0.58
Bombay Burmah,"2,847.70","2,673.60","2,733.10","2,717.55",15.55,0.57
ICICI Lombard ,"1,932.00","1,881.00","1,921.10","1,910.15",10.95,0.57
DOMS Industries,"2,845.00","2,712.70","2,786.70","2,771.65",15.05,0.54
