company_name,high,low,last_price,prev_close,change,percent_gain
New India Assur,255.20,227.00,255.20,232.00,23.2,10
NBCC (India),76.50,70.10,76.10,70.00,6.1,8.71
India Cements,254.60,233.40,251.35,233.05,18.3,7.85
GE Shipping,882.00,815.00,875.55,812.50,63.05,7.76
Supreme Ind,"4,593.90","4,089.00","4,431.15","4,121.30",309.85,7.52
Sonata,"1,367.00","1,276.40","1,359.15","1,269.75",89.4,7.04
Aegis Logistics,374.00,346.10,371.95,348.85,23.1,6.62
Poonawalla Fin,411.75,386.00,409.30,384.65,24.65,6.41
Indiabulls Hsg,208.80,188.25,204.15,192.95,11.2,5.8
Delta Corp,147.15,133.60,141.65,134.00,7.65,5.71
Triveni Turbine,440.80,404.60,430.85,407.70,23.15,5.68
Hinduja Global,"1,040.00",945.00,"1,006.75",955.75,51,5.34
HUDCO,87.30,81.65,85.75,81.40,4.35,5.34
Prestige Estate,"1,050.00",953.45,"1,002.90",952.60,50.3,5.28
Intellect Desig,745.75,698.50,734.45,697.85,36.6,5.24
SUMITOMO,408.50,387.90,406.95,387.30,19.65,5.07
General Insuran,327.25,301.00,319.55,304.45,15.1,4.96
Brightcom Group,17.00,15.90,17.00,16.20,0.8,4.94
Brigade Ent,824.80,771.60,816.25,778.20,38.05,4.89
NLC India,171.30,162.00,170.35,162.55,7.8,4.8
RHI Magnesita,775.50,725.35,765.50,730.45,35.05,4.8
GAIL,134.20,125.30,131.90,125.90,6,4.77
Muthoot Finance,"1,506.50","1,408.35","1,481.90","1,415.85",66.05,4.67
CHEMPLAST SANMA,471.00,447.00,469.80,449.40,20.4,4.54
CDSL,"1,928.80","1,861.00","1,893.80","1,811.90",81.9,4.52
JK Lakshmi Cem,825.20,773.45,816.50,782.45,34.05,4.35
KSB Pumps,"3,496.40","3,284.90","3,422.80","3,284.95",137.85,4.2
Varun Beverages,"1,129.70","1,059.40","1,105.00","1,060.85",44.15,4.16
Varun Beverages,"1,129.70","1,059.40","1,105.00","1,060.85",44.15,4.16
CG Power ,454.90,438.55,449.40,431.50,17.9,4.15
ABB India,"4,465.00","4,234.10","4,419.75","4,244.05",175.7,4.14
Trent,"2,809.75","2,675.00","2,787.00","2,676.40",110.6,4.13
CCL Products,662.50,643.65,660.15,634.00,26.15,4.12
Global Health,975.25,921.60,957.35,919.85,37.5,4.08
Restaurant Bran,117.00,112.25,116.25,111.75,4.5,4.03
Home First,913.95,865.90,898.45,863.80,34.65,4.01
KPIL,666.00,637.20,663.25,637.75,25.5,4
Motilal Oswal,"1,210.25","1,160.00","1,201.10","1,155.25",45.85,3.97
Hikal,284.90,272.35,283.50,273.00,10.5,3.85
Archean Chem,591.90,553.00,584.90,563.65,21.25,3.77
Max Healthcare,665.70,610.00,635.80,613.25,22.55,3.68
Alembic Pharma,835.40,722.85,745.80,719.40,26.4,3.67
Macrotech Dev,902.75,844.25,881.70,850.70,31,3.64
Bharat Elec,146.35,140.75,145.90,141.00,4.9,3.48
Cochin Shipyard,"1,218.00","1,171.00","1,204.60","1,164.10",40.5,3.48
Coromandel Int,"1,175.00","1,137.60","1,163.15","1,124.25",38.9,3.46
TCNS Clothing C,387.75,372.35,385.25,372.45,12.8,3.44
Tata Inv Corp,"4,250.00","4,040.00","4,237.45","4,096.45",141,3.44
Alkem Lab,"4,795.50","4,561.05","4,723.55","4,567.25",156.3,3.42
Can Fin Homes,790.00,768.05,781.10,755.90,25.2,3.33
BHEL,176.50,160.80,170.45,165.05,5.4,3.27
MCX India,"3,214.00","3,045.05","3,195.35","3,095.45",99.9,3.23
Shyam Metalics,472.65,456.00,469.90,455.25,14.65,3.22
Granules India,404.00,387.50,399.55,387.15,12.4,3.2
Metro Brands,"1,441.20","1,350.00","1,370.05","1,328.00",42.05,3.17
Carborundum,"1,219.25","1,122.15","1,190.10","1,154.15",35.95,3.11
Latent View,503.90,475.10,491.10,476.35,14.75,3.1
UltraTechCement,"9,019.15","8,763.45","9,003.65","8,732.75",270.9,3.1
Bharti Airtel,"1,018.20",992.70,"1,014.70",984.90,29.8,3.03
IOC,112.50,107.10,111.75,108.55,3.2,2.95
Rajesh Exports,362.00,344.60,353.10,343.15,9.95,2.9
Suzlon Energy,41.00,38.10,40.75,39.60,1.15,2.9
JB Chemicals,"1,495.00","1,412.00","1,450.90","1,410.35",40.55,2.88
JB Chemicals,"1,495.00","1,412.00","1,450.90","1,410.35",40.55,2.88
KEI Industries,"2,895.00","2,801.00","2,880.55","2,801.05",79.5,2.84
Endurance Techn,"1,688.10","1,624.00","1,683.95","1,638.15",45.8,2.8
Network 18,88.10,82.35,86.55,84.20,2.35,2.79
J. K. Cement,"3,670.00","3,547.20","3,643.55","3,544.95",98.6,2.78
ICICI Lombard ,"1,490.00","1,436.25","1,480.00","1,440.60",39.4,2.73
Bayer CropScien,"5,392.00","5,223.25","5,373.60","5,235.25",138.35,2.64
ZFCVINDIA,"16,022.90","15,262.05","15,901.10","15,493.60",407.5,2.63
eClerx Services,"2,728.80","2,538.65","2,676.90","2,608.60",68.3,2.62
UTI AMC,834.90,805.90,823.75,802.70,21.05,2.62
3M India,"31,220.00","30,330.10","31,037.80","30,247.90",789.9,2.61
LIC Housing Fin,494.00,477.70,491.15,478.70,12.45,2.6
KPR Mill,880.00,845.00,864.20,842.50,21.7,2.58
PB Fintech,841.70,808.00,833.05,812.35,20.7,2.55
NMDC Steel,44.85,42.80,44.35,43.25,1.1,2.54
Lupin,"1,290.00","1,250.00","1,280.90","1,249.55",31.35,2.51
Sobha,915.00,880.00,907.25,885.15,22.1,2.5
Aditya Birla F,233.30,225.20,231.75,226.15,5.6,2.48
Piramal Pharma,127.55,122.50,126.60,123.60,3,2.43
Shree Cements,"26,950.00","26,107.00","26,741.75","26,106.90",634.85,2.43
ICICI Securitie,683.00,655.10,680.45,664.45,16,2.41
Nuvoco Vistas,369.90,356.80,364.85,356.25,8.6,2.41
Elgi Equipments,532.70,515.05,531.15,518.70,12.45,2.4
360 ONE WAM,580.00,555.70,572.25,558.85,13.4,2.4
360 ONE WAM,580.00,555.70,572.25,558.85,13.4,2.4
Torrent Power,972.10,920.05,964.00,941.40,22.6,2.4
Kajaria Ceramic,"1,340.15","1,308.75","1,338.00","1,306.95",31.05,2.38
Triveni Engg,400.90,377.80,387.30,378.45,8.85,2.34
Anupam Rasayan,993.00,957.10,986.60,964.15,22.45,2.33
Avenue Supermar,"3,962.00","3,834.00","3,949.75","3,861.50",88.25,2.29
Fortis Health,388.20,375.35,386.00,377.40,8.6,2.28
Bikaji Foods,560.00,544.50,558.00,545.70,12.3,2.25
HDFC Life,693.00,674.55,690.75,675.65,15.1,2.23
Eicher Motors,"3,920.00","3,828.05","3,896.90","3,812.25",84.65,2.22
GSFC,194.90,190.00,193.20,189.00,4.2,2.22
Marico,539.95,527.00,538.65,527.00,11.65,2.21
Phoenix Mills,"2,395.00","2,249.40","2,371.05","2,319.95",51.1,2.2
Ratnamani Metal,"3,799.00","3,621.20","3,729.40","3,649.10",80.3,2.2
Apar Ind,"5,648.00","5,436.00","5,581.40","5,462.80",118.6,2.17
Amara Raja,711.60,690.00,710.05,694.95,15.1,2.17
Indiabulls Real,83.35,79.65,82.90,81.15,1.75,2.16
L&T Finance,149.10,144.85,148.25,145.15,3.1,2.14
Cera Sanitary,"8,656.00","8,350.00","8,587.05","8,410.60",176.45,2.1
Dixon Technolog,"5,591.50","5,391.00","5,510.60","5,398.50",112.1,2.08
Data Patterns,"2,017.00","1,970.00","2,012.70","1,971.80",40.9,2.07
Guj Amb Exports,375.00,363.35,371.70,364.15,7.55,2.07
Power Finance,338.25,325.70,334.90,328.10,6.8,2.07
Zensar Tech,539.80,527.05,538.45,527.60,10.85,2.06
Rossari,732.25,702.30,722.35,707.90,14.45,2.04
BSE Limited,"2,544.30","2,400.00","2,476.95","2,427.60",49.35,2.03
Go Fashion,"1,345.00","1,309.15","1,329.55","1,303.15",26.4,2.03
PCBL,278.00,267.80,271.85,266.45,5.4,2.03
Polycab,"5,340.00","5,156.30","5,267.90","5,162.95",104.95,2.03
Vaibhav Global,433.00,420.45,428.00,419.55,8.45,2.01
FSN E-Co Nykaa,178.35,171.20,175.80,172.35,3.45,2
L&T Technology,"4,804.60","4,657.00","4,768.95","4,675.60",93.35,2
Godrej Prop,"1,883.00","1,825.80","1,876.70","1,840.00",36.7,1.99
ICICI Prudentia,569.40,552.55,562.60,551.70,10.9,1.98
Nippon,419.65,410.05,418.15,410.05,8.1,1.98
Apollo Hospital,"5,550.00","5,382.00","5,528.95","5,421.95",107,1.97
Aurobindo Pharm,"1,047.90","1,021.50","1,041.55","1,021.45",20.1,1.97
Sun Pharma,"1,231.15","1,192.35","1,225.85","1,202.20",23.65,1.97
BLS Internation,266.90,257.70,264.95,259.85,5.1,1.96
Westlife Food,907.00,878.30,899.80,882.55,17.25,1.95
Pidilite Ind,"2,563.60","2,487.00","2,552.35","2,503.60",48.75,1.95
SBI Life Insura,"1,444.20","1,409.05","1,435.25","1,407.85",27.4,1.95
Hero Motocorp,"3,884.50","3,782.20","3,819.05","3,746.90",72.15,1.93
C. E. Info Syst,"2,231.70","2,142.25","2,224.80","2,183.15",41.65,1.91
TataTeleservice,96.80,92.75,95.20,93.45,1.75,1.87
Petronet LNG,204.20,198.10,202.80,199.20,3.6,1.81
Cummins,"1,920.00","1,865.10","1,909.10","1,875.35",33.75,1.8
Titan Company,"3,500.00","3,422.25","3,490.60","3,429.30",61.3,1.79
TV18 Broadcast,43.65,42.40,43.10,42.35,0.75,1.77
M&M,"1,660.00","1,613.70","1,647.75","1,619.10",28.65,1.77
Canara Bank,406.40,400.20,403.05,396.10,6.95,1.75
Bandhan Bank,230.40,223.00,226.10,222.35,3.75,1.69
REC,352.00,338.60,348.70,342.90,5.8,1.69
Cipla,"1,217.65","1,198.10","1,212.30","1,192.30",20,1.68
Praj Industries,650.50,630.60,644.60,634.00,10.6,1.67
Wipro,414.50,404.05,413.05,406.25,6.8,1.67
Zomato,120.70,116.15,118.55,116.60,1.95,1.67
Shriram Finance,"2,020.00","1,971.30","2,007.20","1,974.35",32.85,1.66
Torrent Pharma,"2,140.00","2,077.85","2,126.55","2,091.85",34.7,1.66
